,Group,mean,std
0,IT-LS,10.979166666666666,3.3633414890882283
1,OT-LS,5.732394366197183,3.032489547972064
2,Success-LS,6.3105590062111805,3.4321027812664138
3,Failed-LS,11.206896551724139,3.477804602240819
4,IT-SC,0.441896551724138,0.13259618365226006
5,OT-SC,0.22369747899159664,0.14116779185008663
6,Success-SC,0.24889285714285714,0.1477220699454878
7,Failed-SC,0.57375,0.13126190422205522
8,SU-IT-LS,10.384615384615385,3.1632131069157063
9,FA-IT-LS,11.681818181818182,3.4560403464127933
10,SU-OT-LS,5.525925925925926,2.882461986848073
11,FA-OT-LS,9.714285714285714,3.1036515689143473
12,SU-IT-SC,0.4058695652173914,0.10532199256186843
13,FA-IT-SC,0.58,0.13567731325956206
14,SU-OT-SC,0.218034188034188,0.13466475827690266
15,FA-OT-SC,0.555,0.11500000000000002
